category_tree,service_name,stats_category
Capelli Lunghi,Shampoo Keratina,Shampoo
EPILAZIONE,SOPRACCIGLIA,Ciglia/Sopracciglia
Ceretta > Ceretta Donna,Sopracciglia Pinzetta,Ciglia/Sopracciglia
Sopracciglia & Ciglia,Colorazione Sopracciglia,Ciglia/Sopracciglia
Henné ciglia/sopracciglia,Tinta ciglia,Ciglia/Sopracciglia
CIGLIA E SOPRACCIGLIA,EXTENSION CIGLIA,Ciglia/Sopracciglia
sopracc,sopracciglia,Ciglia/Sopracciglia
Extra,Sopracciglia,Ciglia/Sopracciglia
Ciglia / Sopracciglia,Laminazione Ciglia,Ciglia/Sopracciglia
Ceretta uomo,Sopracciglia,Ciglia/Sopracciglia
Sopracciglia & Ciglia,Lash Filler,Ciglia/Sopracciglia
Estetica,Sopracciglia,Ciglia/Sopracciglia
ESTETICA DI BASE,Epilazione sopracciglia,Ciglia/Sopracciglia
Estetica > Epilazione Wax Secret,Labiale e sopracciglia,Ciglia/Sopracciglia
Sopracciglia & Ciglia,Extension ciglia volume,Ciglia/Sopracciglia
Trattamenti viso,Laminazione Ciglia  o Sopracciglia,Ciglia/Sopracciglia
Trattamenti viso,LAMINAZIONE CIGLIA,Ciglia/Sopracciglia
Ciglia,Extention Ciglia one to one,Ciglia/Sopracciglia
Trattamenti Viso,Laminazione Ciglia,Ciglia/Sopracciglia
Non Prenotabili,Taglio - Capelli Corti,Taglio
Non Prenotabili,Taglio - Capelli Medi,Taglio
Non Prenotabili,Taglio - Capelli Lunghi,Taglio
Non Prenotabili,Taglio Bimbo/A - Capelli Corti,Taglio
Non Prenotabili,Taglio Bimbo/A - Capelli Medi,Taglio
Non Prenotabili,Taglio Bimbo/A - Capelli Lunghi,Taglio
Maschile,Taglio e Shampoo,Taglio
Maschile,Taglio Style,Taglio
Maschile,Taglio Baby,Taglio
Maschine,Taglio razor,Taglio
Non Prenotabili,Taglio Bimbo/A - Capelli Medi,Taglio
Barberia,Taglio Baby,Taglio
Non Prenotabili,Taglio Bimbo/A,Taglio
Non Prenotabili,Taglio ragazzo,Taglio
Stilistico,Shampoo e Taglio capelli Lunghi,Taglio
nan,taglio man,Taglio
Servizi Non prenotabili,Taglio Medi,Taglio
Capelli Corti > Con Taglio,Onde,Taglio
Capelli,Taglio bimbo,Taglio
Capelli Corti,Taglio,Taglio
nan,Taglio Bimbo,Taglio
Taglio,Taglio_Donna,Taglio
TAGLIO UOMO,TAGLIO A FORBICI & SHAMPOO,Taglio
TAGLIO - BARBA - SERVIZI VARI (UOMO),Hair tattoo,Taglio
Servizi Non prenotabili,Taglio Corti,Taglio
nan,TAGLIO + BARBA,Taglio
Maschile,Taglio e Shampoo,Taglio
nan,Taglio Vinz,Taglio
Pedicure,taglio unghie,Taglio
Maschile,Taglio e Shampoo,Taglio
nan,Taglio capelli e barba chiunque,Taglio
Capelli corti / Medi,Taglio Bimba/o,Taglio
Capelli > Maschile,Rasatura all'Italiana,Taglio
Maschile,"Taglio, Shampoo e Barba",Taglio e barba
Eventi,Completo (Shampoo + Taglio+ Barba,Taglio e barba
Maschile,"Taglio , Shampoo e Barba",Taglio e barba
Non Prenotabili,Tonalizzante - Capelli Corti,Tonalizzante
Non Prenotabili,Tonalizzante - Capelli Medi,Tonalizzante
Non Prenotabili,Tonalizzante - Capelli Lunghi,Tonalizzante
Parrucchiere Donna,App. Tonalizzante,Tonalizzante
Femminile Capelli Medi/Lunghi,Tonalizzante,Tonalizzante
Servizi Non prenotabili,App. Tonalizzante Medi,Tonalizzante
Capelli Medi,App. Tonalizzante,Tonalizzante
Non Prenotabili,Tonalizzante,Tonalizzante
Capelli Lunghi,Tonalizzante,Tonalizzante
Trattamenti Corpo,"Trattamento con bendaggi (Drenanti, Riducenti, Tonificanti)",Trattamenti Corpo
Trattamenti con Bendaggi,Bendaggio addome + massaggio (20 min),Trattamenti Corpo
Trattamenti Corpo,"Trattamento con bendaggi (Drenanti, Riducenti, Tonificanti)",Trattamenti Corpo
Trattamenti Corpo,"Trattamento con bendaggi (Drenanti, Riducenti, Tonificanti, bio kalco)",Trattamenti Corpo
Trattamenti Corpo,Radiofrequenza Glutei?,Trattamenti Corpo
Trattamenti,Trattamento Botox,Trattamenti Corpo
Trattamenti Corpo  > Tratt. Pre e Post Epilazione,Pre Epilazione (Scrub Total Body - Esfoliazione),Trattamenti Corpo
Trattamenti Corpo  > Tratt. Ritenzione Idrica Arti Inferiori (Defatican,Sale Ocean Sea (Scambi Cellulari),Trattamenti Corpo
TRATTAMENTI CORPO,Fango/bendaggio,Trattamenti Corpo
Doccia Solare,Doccia Solare,Trattamenti Corpo
Doccia solare,Doccia solare 12min,Trattamenti Corpo
Trattamenti Corpo,Ultrasuoni gamba + fango localizzato + massaggio gambe,Trattamenti Corpo
Trattamenti corpo,Calco Addominale,Trattamenti Corpo
CORPO,Impacco Nutriente Corpo,Trattamenti Corpo
CORPO,SLIM UP DRAIN,Trattamenti Corpo
TRATTAMENTI VISO E CORPO UOMO/DONNA,Fanghi Corpo,Trattamenti Corpo
nan,Tecnologia ultrasuoni e infrarossi,Trattamenti Corpo
Corpo > Trattamenti Corpo,Body Tone,Trattamenti Corpo
Trattamenti Corpo,Bagno Turco + Fango,Trattamenti Corpo
Trattamenti corpo,Trattamento esfoliante gambe,Trattamenti Corpo
Trattamenti Corpo,Trattamento scrub corpo,Trattamenti Corpo
Trattamenti Corpo,Scrub Viso corpo,Trattamenti Corpo
Trattamenti corpo,FANGHI,Trattamenti Corpo
Trattamenti corpo,Thermosauna con fango specifico,Trattamenti Corpo
Trattamenti Corpo  > Tratt. Post Gravidanza (Neo Mamma),Fangomassaggio (Attivatore Metabolico),Trattamenti Corpo
Trattamenti Corpo  > Tratt. Adiposità (Snellente),Sale Total Body (Scambi Cellulari),Trattamenti Corpo
nan,RIFLESSOLOGIA PLANTARE,Trattamenti Corpo
Radiofrequenza,Radiofrequenza Braccia,Trattamenti Corpo
TRATTAMENTI VISO E CORPO UOMO/DONNA,Bendaggi,Trattamenti Corpo
nan,rimozione semi,Trattamenti Corpo
TRATTAMENTO CORPO,SCRUB CORPO,Trattamenti Corpo
Trattamenti corpo,SCRUB CORPO,Trattamenti Corpo
Servizi,Crioterapia,Trattamenti Corpo
Lampada Solarium,Lampada Solarium con breeze e acido ialuronico,Trattamenti Corpo
Trattamenti Corpo,Trattamenti di Benvenuto Corpo,Trattamenti Corpo
CURE ESTETICHE DEL CORPO,Trattamento con fangoaroma terapia,Trattamenti Corpo
nan,Radiofrequenza a zona,Trattamenti Corpo
Trattamenti viso,Pulizia viso,Trattamenti viso
Trattamenti viso,Trattamento illuminante,Trattamenti viso
Trattamenti viso,Trattamento Anti-age,Trattamenti viso
Trattamenti viso,Trattamento agli Alfa-idrossiacidi (anti-macchie),Trattamenti viso
Trattamenti Viso,Time Synergists,Trattamenti viso
TRATTAMENTI VISO,Igiene cosmetica biologica,Trattamenti viso
Estetica > Trattamenti Viso,Trattamento agli Alfa-idrossiacidi (anti-macchie),Trattamenti viso
Trattamenti viso,Pulizia viso,Trattamenti viso
Viso > Trattamenti Viso,Fili di Collagene,Trattamenti viso
Trattamenti Viso,Trattamento Anti-age,Trattamenti viso
Trattamenti viso,Trattamento agli Alfa-idrossiacidi (anti-macchie),Trattamenti viso
Viso,Pulizia viso,Trattamenti viso
trattamenti viso,SKINCARE DELUX,Trattamenti viso
Trattamenti viso,"Preparazione pulizioa viso, detersione scrub e vapore",Trattamenti viso
Trattamenti Viso,Detox Histomer,Trattamenti viso
Viso,trattamento fotobiostimolazione con maschera LED,Trattamenti viso
Trattamenti Viso,Acido Glicolico,Trattamenti viso
nan,Viso Completo,Trattamenti viso
Viso,Rimozione Extension,Trattamenti viso
Estetica > Viso,Trattamento Life,Trattamenti viso
Viso,Wish Treatment,Trattamenti viso
Trattamenti viso,Trattamento fotobiostimolazione con maschera LED,Trattamenti viso
trattamenti viso,Post Acne,Trattamenti viso
Viso,Pulizia viso,Trattamenti viso
Estetica > Viso / Corpo,Trattamenti Viso + Scub,Trattamenti viso
Trattamenti Viso,Montaggio maschera led,Trattamenti viso
Trattamenti Speciali Benessere,Trattamento Intensivo Ocean Lift (liftante anti-age),Trattamenti viso
Trattamenti viso,Pulizia viso personalizzata,Trattamenti viso
Trattamenti Viso,Dermopigmentazione Labbra,Trattamenti viso
Non Prenotabili,Trattamento - Capelli Corti,Trattamento capelli
Non Prenotabili,Trattamento - Capelli Medi,Trattamento capelli
Non Prenotabili,Trattamento - Capelli Lunghi,Trattamento capelli
Non Prenotabili,Ricostruzione - Capelli Corti,Trattamento capelli
Non Prenotabili,Ricostruzione - Capelli Medi,Trattamento capelli
Non Prenotabili,Ricostruzione - Capelli Lunghi,Trattamento capelli
Maschile,Trattamento Capelli,Trattamento capelli
Femminile,Ricostruzione keratina,Trattamento capelli
Pedicure,Trattamento bellezza piedi Calluspeeling,Trattamento capelli
Femminile Capelli Corti,Ricostruzione (corti),Trattamento capelli
Servizi Non prenotabili,App. Ricostruzione Medi,Trattamento capelli
Non Prenotabili,Ricostruzione - Capelli Corti,Trattamento capelli
Servizi Tecnici,Trattamento Capelli,Trattamento capelli
Femminile Capelli Corti,Lozione Specifica,Trattamento capelli
Hair Treatment,Laminazione capelli,Trattamento capelli
nan,anticaduta,Trattamento capelli
nan,Trat Ossigeno Anticaduta + Shampoo + Piega,Trattamento capelli
Da eliminare > Capelli Lunghi > Senza Taglio,Smontaggio extencion,Trattamento capelli
nan,LAMINAZIONE PAUL RIVERA,Trattamento capelli
Capelli Lunghi,Maschera Colorata,Trattamento capelli
Capelli Lunghi,Anticrespo,Trattamento capelli
Servizi Non prenotabili,App. Metal Detox Medi,Trattamento capelli
Non Prenotabili,Toning - Capelli Medi,Trattamento capelli
Servizi Non prenotabili,CREMA KERASTASE,Trattamento capelli
Femminile > Capelli Lunghi > Capelli Lunghi Senza Taglio,Trattamento cellula madre,Trattamento capelli
esteta take care,extension con nodino,Trattamento capelli
Maschile,Schiariture,Trattamento capelli
EpilFree > Intimo,Brazilian,Ceretta
EpilFree > Intimo,Hollywood (integrale),Ceretta
EpilFree > Corpo,1/2 Gamba,Ceretta
EpilFree > Corpo,1/2 Braccio,Ceretta
EpilFree > Corpo,3/4 Gamba,Ceretta
EpilFree > Corpo,Gambe complete,Ceretta
EpilFree > Corpo,Braccia complete,Ceretta
EpilFree > Corpo,Petto / Pancia,Ceretta
EpilFree > Corpo,Schiena,Ceretta
Uomo,Taglio uomo + shampoo,Taglio
Uomo,taglio uomo razor + shampoo,Taglio
Uomo,taglio uomo razor,Taglio
Uomo,taglio razor,Taglio
Uomo,taglio e piega,Taglio
Donna,taglio donna e piega corta,Taglio
Donna,taglio donna e piega media,Taglio
Donna,taglio donna e piega lunga,Taglio
Donna,taglio e piega corta,Taglio
Donna,taglio e piega media,Taglio
Donna,taglio e piega lunga,Taglio
Donna,taglio e piega,Taglio
Donna,taglio donna e piega,Taglio
Donna,applicazione colore,Colore
applicazioni tecniche,servizio tecnico,Trattamento capelli
Servizi Uomo,	Taglio,	Taglio
Servizi Uomo,	Shampoo + Taglio,	Taglio
Servizi Uomo,	Shampoo + Lozione,	Trattamento capelli
Servizi Uomo,	Lozione,	Trattamento capelli
Servizi Uomo,	Barba,	Barba
Servizi Uomo,	Sfumatura,	Taglio
Servizi Donna,	Shampo e Piega (capelli corti),	Piega
Servizi Donna,	Shampo e Piega (capelli media lunghezza),	Piega
Servizi Donna,	Shampo e Piega (capelli lunghi),	Piega
Servizi Uomo,	Taglio bambino,	Taglio
Servizi Donna,	Pettinata,	Piega
Servizi Uomo,	App. Colore,	Colore
Laser corpo,	laser ascelle,	Epilazione laser
Laser corpo,	laser inguine,	Epilazione laser
Laser corpo,	laser gambe,	Epilazione laser
Laser corpo,	laser braccia,	Epilazione laser
Laser corpo,	laser gambaletto,	Epilazione laser
Laser corpo,	laser coscia,	Epilazione laser
Laser corpo,	laser viso completo,	Epilazione laser
Laser corpo,	laser petto uomo,	Epilazione laser
Laser corpo,	laser schiena uomo,	Epilazione laser
Parrucchiere,	Tinta,	Colore
LASER,	Zona piccola,	Epilazione laser
LASER,	Zona media,	Epilazione laser
LASER,	Zona media top,	Epilazione laser
LASER, Zona grande,	Epilazione laser
