category_tree,service_name,stats_category
Parrucchiere Donna,App. Meches Complete,Meches
Parrucchiere Donna,App. Balayage,Balayage
Parrucchiere Donna,App. Ritocco Degradè,Degradè
Parrucchiere Donna,App. Degradè Completo,Degradè
Parrucchiere Donna,App. Permanente,Permanente
Parrucchiere Donna,App. Riflessante,Riflessante
Parrucchiere Donna,App. Tonalizzante,Tonalizzante
Parrucchiere Donna,Maschera ,Consulenza
Parrucchiere Donna,Gold 20,Consulenza
Parrucchiere Donna,Cleansing ,Balayage
Parrucchiere Donna,Trattamento completo Keratina,Keratina
Parrucchiere Donna,Piega Babyliss / Frisé / Onde,Piega babyliss
Parrucchiere Donna,Piega Piastra,Piega piastra
Femminile Capelli Corti,Taglio (corti),Taglio
Femminile Capelli Medi/Lunghi,Taglio,Taglio
Bambini,Taglio Bimbo/a ,Taglio
Femminile Capelli Medi/Lunghi,Taglio Bimbo/a,Taglio
Femminile Capelli Corti,Piega (corti),Piega
Femminile Capelli Medi/Lunghi,Piega,Piega
Femminile Capelli Corti,Applicazione Ritocco Colore (corti),Colore
Femminile Capelli Medi/Lunghi,Applicazione Ritocco Colore,Colore
Femminile Capelli Corti,Applicazione Colore Completo (corti),Colore
Femminile Capelli Medi/Lunghi,Applicazione Colore Completo,Colore
Femminile Capelli Medi/Lunghi,Applicazione Meches Parziali,Meches
Femminile Capelli Corti,Applicazione Meches Completo (corti),Colore
Femminile Capelli Medi/Lunghi,Applicazione Meches Completo,Meches
Femminile Capelli Corti,Applicazione Shade (corti),Piega
Femminile Capelli Medi/Lunghi,Applicazione Shade,Manicure
Femminile Capelli Corti,Applicazione Permanente (corti),Permanente
Femminile Capelli Medi/Lunghi,Applicazione Permanente,Permanente
Femminile Capelli Corti,Applicazione Riflessante (corti),Piega
Femminile Capelli Medi/Lunghi,Applicazione Riflessante,Riflessante
Femminile Capelli Corti,Anti-Curl (corti),Piega
Femminile Capelli Medi/Lunghi,Anti-Curl,Piega
Femminile Capelli Corti,Tonalizzante (corti),Piega
Femminile Capelli Medi/Lunghi,Tonalizzante,Tonalizzante
Femminile Capelli Corti,Trattamento Nubeà (corti),Piega
Femminile Capelli Medi/Lunghi,Trattamento Nubeà,Trattamento capelli
Femminile Capelli Corti,Ricostruzione (corti),Trattamento capelli
Femminile Capelli Medi/Lunghi,Ricostruzione,Trattamento capelli
Femminile Capelli Corti,Trat Pulizia Cute (corti),Pulizia cute
Femminile Capelli Medi/Lunghi,Trat Pulizia Cute,Pulizia cute
Bambini,Piega Bimba Liscia Capelli Corti,Piega
Bambini,Piega Bimba Liscia Capelli Medi/Lunghi,Piega
Bambini,Piega Bimba Ferro/Piastra capelli Medi/Lunghi,Piega
Femminile Capelli Corti,Effetti Speciali 3D (corti),Piega
Femminile Capelli Medi/Lunghi,Effetti Speciali 3D,Piega
Femminile Capelli Corti,Applicazione Curl-Buster (corti),Piega
Femminile Capelli Medi/Lunghi,Applicazione Curl-Buster,Manicure
Maschile,Shampoo prima del Taglio,Taglio
Bambini,Taglio Bimbo senza Shampoo,Taglio
Maschile,Shampoo dopo il Taglio,Taglio
Maschile,Piega Diffusore,Piega
Maschile,Piega ,Piega
Maschile,Montaggio Permanente (maschile),Permanente
Maschile,Trattamento Barba GOLD MAN,Barba
Maschile,Trattamento Barba GOLD MAN TOP,Barba
Maschile,Modellatura Barba Corta,Barba
Maschile,Modellatura Barba Lunga,Barba
Maschile,Rasatura Barba,Barba
Femminile Capelli Corti,Applicazione Ritocco Colore SA (corti),Colore
Femminile Capelli Corti,Applicazione Colore Completo  (corti),Colore
Femminile Capelli Medi/Lunghi,Applicazione Ritocco Colore SA,Colore
Femminile Capelli Medi/Lunghi,Applicazione Colore Completo SA,Colore
Bambini,Shampoo ,Shampoo
Femminile Capelli Corti,Pettinata ,Piega
Femminile Capelli Medi/Lunghi,Pettinata ,Piega
Femminile Capelli Medi/Lunghi,Pizzicata,Piega
Femminile Capelli Medi/Lunghi,Acconciatura,Piega
Femminile Capelli Medi/Lunghi,Finish pizzicata,Piega
Maschile,Taglio,Taglio
Maschile,Meches cuffia,Meches
nan,Shampoo,Shampoo
nan,Taglio,Taglio
nan,Shampoo + Taglio ,Taglio
nan,Taglio Baby,Taglio
nan,Shampoo + Taglio Baby,Taglio
nan,Taglio Rasatura,Barba
nan,Barba Totale,Barba
nan,Barba Modellata,Barba
nan,Colore Completo,Colore
nan,maschera dermopurificante,Keratina
nan,Peel -Off maschera del viso,Barba
nan,BARBA A VAPORE,Barba
nan,TAGLIO A MACCHINETTA+BARBA MODELLATA,Barba
nan,rifinitura contorni,Balayage
nan,Taglio+Shampoo+barba totale,Taglio e barba
nan,Taglio+Shampoo+barba definita,Taglio e barba
nan,Taglio Bimbo/a,Taglio
nan,Taglio rasato ,Taglio
nan,Barba Totale,Barba
nan,Barba Modellata,Barba
nan,Colore Barba,Barba
nan,Colore Completo Men Refresh ,Colore
nan,Taglio + Shampoo + Barba,Taglio e barba
nan,Taglio + Shampoo ,Taglio
nan,Taglio + Shampoo + Barba Modellata,Barba
nan,Taglio + Shampoo + Men Refresh,Taglio
nan,Taglio + Pulizia (uomo),Ceretta
nan,Taglio Bimbo/a + Shampoo,Taglio
nan,Shampoo + Acconciatura,Piega
nan,Barba + Men Refresh,Barba
nan,Shampoo + Acconciatura + Barba,Piega
nan,Igienizzazione Barba,Barba
nan,Stiraggio Semi Permanente Capelli Corti,Permanente
nan,Stiraggio Semi Permanente Capelli Lunghi,Permanente
nan,Permanente Capelli Corti,Permanente
nan,Permanente Capelli Lunghi,Permanente
nan,Pulizia Cuoio Capelluto Uomo,Ceretta
nan,Barba Hipster ,Barba
Styling,Piega,Piega
Styling,Taglio,Taglio
Colore,Colore,Colore
Cosmetico,Trattamento Base,Trattamento capelli
Colore,Balayage,Balayage
Uomo,Taglio,Ceretta
Uomo,Taglio Bimbo,Taglio
Uomo,Colore Completo,Colore
Donna > Capelli Corti,Taglio,Taglio
Donna > Capelli Corti,Piega,Piega
Donna > Capelli Corti,Applicazione Ritocco Colore,Colore
Donna > Capelli Corti,Applicazione Colore Completo,Colore
Donna > Capelli Corti,Applicazione Meches Parziali,Meches
Donna > Capelli Corti,Applicazione Meches Completo,Meches
Donna > Capelli Corti,Applicazione Permanente,Permanente
Donna > Capelli Corti,Applicazione Riflessante,Riflessante
Donna > Capelli Corti,tiraggio,Consulenza
Donna > Capelli Corti,Tonalizzante,Tonalizzante
Donna > Capelli Corti,Trattamento express ,Trattamento capelli
Donna > Capelli Corti,Trat Pulizia Cute,Pulizia cute
Donna > Capelli Corti,Biotrix ,Consulenza
Donna > Capelli Medi,Taglio,Taglio
Donna > Capelli Medi,Piega,Piega
Donna > Capelli Medi,Applicazione Ritocco Colore,Colore
Donna > Capelli Medi,Applicazione Colore Completo,Colore
Donna > Capelli Medi,Applicazione Meches Parziali,Meches
Donna > Capelli Medi,Applicazione Meches Completo,Meches
Donna > Capelli Medi,Applicazione Permanente,Permanente
Donna > Capelli Medi,Applicazione Riflessante,Riflessante
Donna > Capelli Medi,tiraggio,Consulenza
Donna > Capelli Medi,Tonalizzante,Tonalizzante
Donna > Capelli Medi,Trattamento express ,Trattamento capelli
Donna > Capelli Medi,Trat Pulizia Cute,Pulizia cute
Donna > Capelli Medi,Biotrix ,Consulenza
Donna > Capelli Lunghi,Shampoo,Shampoo
Donna > Capelli Lunghi,Taglio,Taglio
Donna > Capelli Lunghi,Piega,Piega
Donna > Capelli Lunghi,Applicazione Ritocco Colore,Colore
Donna > Capelli Lunghi,Applicazione Colore Completo,Colore
Donna > Capelli Lunghi,Balayage,Balayage
Donna > Capelli Lunghi,Applicazione Permanente,Permanente
Donna > Capelli Lunghi,Applicazione Riflessante,Riflessante
Donna > Capelli Lunghi,tiraggio,Consulenza
Donna > Capelli Lunghi,Tonalizzante,Tonalizzante
Donna > Capelli Lunghi,Trattamento express ,Trattamento capelli
Donna > Capelli Lunghi,Trat Pulizia Cute,Pulizia cute
Donna > Capelli Lunghi,Biotrix ,Consulenza
Donna > Capelli Lunghi,Applicazione Meches Parziali,Meches
Donna > Capelli Lunghi,Applicazione Meches Completo,Meches
ESTETICA,depilazione completa,Ceretta
ESTETICA,depilazione braccia ,Ceretta
ESTETICA,depilazione ascelle,Ceretta
ESTETICA,depilazione inguine,Ceretta
ESTETICA,depilazione mezza gamba + inguine,Ceretta
ESTETICA,depilazione viso ,Ceretta
ESTETICA,baffetti ,Ceretta
ESTETICA,Manicure ,Manicure
ESTETICA,Pedicure,Pedicure
ESTETICA,Manicure + Semipermanente ,Manicure
ESTETICA,Pedicure + semipermanente ,Pedicure
Donna > Capelli Corti,Biotrix ,Consulenza
Donna > Capelli Corti,Trattamento Ristrutturante,Trattamento capelli
Donna > Capelli Medi,Trattamento express ,Trattamento capelli
Donna > Capelli Lunghi,Trattamento express ,Trattamento capelli
Donna > Capelli Medi,Balayage,Balayage
Donna > Capelli Medi,Trattamento Ristrutturante,Trattamento capelli
Donna > Capelli Lunghi,Trattamento Ristrutturante,Trattamento capelli
ESTETICA,depilazione intera gambe ,Ceretta
Donna > Capelli Corti,acconciatura ,Piega
Donna > Capelli Medi,acconciatura ,Piega
Donna > Capelli Lunghi,acconciatura ,Piega
ESTETICA,trucco ,Makeup/Trucco
Maschile,Shampoo,Shampoo
Maschile,Taglio,Taglio
Maschile,Taglio Bimbo/a,Taglio
Maschile,taglio e shampoo,Taglio
Maschile,Trattamento,Trattamento capelli
Maschile,Trat  DETOX ( pulizia cute con utilizzo di prodotti specifici),Pulizia cute
Maschile,Barba,Barba
Maschile,Barba Rifinita,Barba
Maschile,Ricondizionamento Barba,Barba
Maschile,Barba Modellata,Barba
Maschile,Taglio family per 2,Keratina
Maschile,taglio shampoo family x 2,Taglio
Maschile,Stiratura,Balayage
Maschile,Meches,Meches
Maschile,Colore ,Colore
Maschile,Permanente,Permanente
Maschile,Barba con Vaporizzatore,Barba
Capelli,Shampoo ,Shampoo
Capelli,Taglio ,Taglio
Capelli,Shampoo + Taglio  ,Taglio
Capelli,Shampoo+ Taglio + Colore ,Taglio
Barba,Barba con panno caldo ,Barba
Capelli,Lozione curativa ,Trattamento capelli
Barba,Barba Totale  ,Barba
Barba,Barba Modellata ,Barba
Barba,Barba al vapore ,Barba
Capelli,Decolorazione   ,Trattamento capelli
Capelli,Ritocco Colore ,Colore
Capelli,Colore Completo ,Colore
Capelli,Colorazione Men Refresh,Ciglia/Sopracciglia
Capelli,Stiraggio Capelli ,Piega
Capelli,Pulizia viso  ,Trattamenti viso
I nostri servizi,Rasatura barba con crema rasatura,Barba
nan,Modellatura barba,Barba
I nostri servizi,"Rasatura barba convapore, panno caldo,relax crema,crema  rasatura,panno freddo,after shave ice",Barba
I nostri servizi,shampoo ,Shampoo
nan,Shampoo curativo,Shampoo
nan,Taglio bimbo,Taglio
I nostri servizi,Taglio capelli uomo,Taglio
I nostri servizi,Igeinizzazione barba,Barba
nan,Visita tricologica,Balayage
nan,"Servizio,colore ",Colore
I nostri servizi,Stiratura capelli,Trattamento capelli
nan,Decolorazione,Balayage
nan,barba classica,Barba
Maschile,Shampoo,Shampoo
Maschile,Taglio,Taglio
Maschile,Taglio Bimbo/a,Taglio
Maschile,Taglio (Rasatura),Barba
Maschile,Barba shave ,Barba
Maschile,Barba Modelling,Barba
Maschile,Relax barba shave  ,Barba
Maschile,Trattamento,Trattamento capelli
Femminile > Capelli Corti,Shampoo,Shampoo
Femminile > Capelli Medi,Shampoo,Shampoo
Femminile > Capelli Lunghi,Shampoo,Shampoo
Femminile > Capelli Corti,Taglio,Taglio
Femminile > Capelli Medi,Taglio,Taglio
Femminile > Capelli Lunghi,Taglio,Taglio
Femminile > Capelli Corti,Taglio Bimbo/a,Taglio
Femminile > Capelli Medi,Taglio Bimbo/a,Taglio
Femminile > Capelli Lunghi,Taglio Bimbo/a,Taglio
Femminile > Capelli Corti,Piega,Piega
Femminile > Capelli Medi,Piega,Piega
Femminile > Capelli Lunghi,Piega,Piega
Femminile > Capelli Corti,Ritocco Colore ,Colore
Femminile > Capelli Medi,Ritocco Colore ,Colore
Femminile > Capelli Lunghi,Ritocco Colore ,Colore
Femminile > Capelli Corti,Colore Completo,Colore
Femminile > Capelli Medi,Colore Completo,Colore
Femminile > Capelli Lunghi,Colore Completo,Colore
Femminile > Capelli Corti,Balayage,Balayage
Femminile > Capelli Medi,Balayage,Balayage
Femminile > Capelli Lunghi,Balayage,Balayage
Femminile > Capelli Corti,Degradé Ritocco,Colore
Femminile > Capelli Medi,Degradé Ritocco,Colore
Femminile > Capelli Lunghi,Degradé Ritocco,Colore
Femminile > Capelli Corti,Degradé ,Piega
Femminile > Capelli Medi,Degradé ,Piega
Femminile > Capelli Lunghi,Degradé ,Piega
Femminile > Capelli Corti,Permanente,Permanente
Femminile > Capelli Medi,Permanente,Permanente
Femminile > Capelli Lunghi,Permanente,Permanente
Femminile > Capelli Corti,Riflessante,Riflessante
Femminile > Capelli Medi,Riflessante,Riflessante
Femminile > Capelli Lunghi,Riflessante,Riflessante
Femminile > Capelli Corti,Stiraggio,Piega
Femminile > Capelli Medi,Stiraggio,Piega
Femminile > Capelli Lunghi,Stiraggio,Piega
Femminile > Capelli Corti,Tonalizzante,Tonalizzante
Femminile > Capelli Medi,Tonalizzante,Tonalizzante
Femminile > Capelli Lunghi,Tonalizzante,Tonalizzante
Femminile > Capelli Corti,Trattamento,Trattamento capelli
Femminile > Capelli Medi,Trattamento,Trattamento capelli
Femminile > Capelli Lunghi,Trattamento,Trattamento capelli
Femminile > Capelli Corti,Trat Pulizia Cute,Pulizia cute
Femminile > Capelli Medi,Trat Pulizia Cute,Pulizia cute
Femminile > Capelli Lunghi,Trat Pulizia Cute,Pulizia cute
Maschile,Taglio (Rasatura),Barba
Femminile > Capelli Corti,Taglio,Taglio
Femminile > Capelli Medi,Taglio,Taglio
Femminile > Capelli Lunghi,Taglio,Taglio
Femminile > Capelli Medi,Taglio Bimbo/a,Taglio
Maschile,permanente ,Permanente
Maschile,stiraggio /anticrespo ,Piega
Maschile,Schiariture ,Balayage
Maschile,Shampoo +taglio+barba,Taglio e barba
Maschile,Taglio Bimbo/a 2,Taglio
Maschile,Relax barba modelling  ,Barba
Maschile,Colore barba ,Barba
Maschile,Shampoo+barba ,Taglio e barba
Femminile > Capelli Lunghi,Trattamento keravegetal,Trattamento capelli
Femminile > Capelli Medi,Trattamento keravegetal,Trattamento capelli
Femminile > Capelli Corti,Trattamento keravegetal,Trattamento capelli
Femminile > Capelli Corti,Trattamento lamynology,Trattamento capelli
Femminile > Capelli Medi,Trattamento lamynology,Trattamento capelli
Femminile > Capelli Lunghi,Trattamento lamynology,Trattamento capelli
Capelli Corti ,Shampoo ,Shampoo
Capelli Medi ,Shampoo ,Shampoo
Capelli Corti ,Taglio ,Taglio
Capelli Medi ,Taglio ,Taglio
Capelli Lunghi ,Taglio,Taglio
Capelli Corti ,Taglio Bimba ,Taglio
Capelli Corti ,Piega ,Piega
Capelli Medi ,Piega ,Piega
Capelli Lunghi ,Piega ,Piega
Capelli Corti ,Ritocco Colore ,Colore
Capelli Medi ,Ritocco Colore ,Colore
Capelli Lunghi ,Ritocco Colore ,Colore
Capelli Corti ,Colore Completo ,Colore
Capelli Medi ,Colore Completo ,Colore
Capelli Lunghi ,Colore Completo ,Colore
Capelli Corti ,Meches Parziali,Meches
Capelli Medi ,Meches Parziali,Meches
Capelli Lunghi ,Meches Parziali,Meches
Capelli Corti ,Meches Completo ,Meches
Capelli Medi ,Meches Completo ,Meches
Capelli Lunghi ,Meches Completo ,Meches
Capelli Corti ,Balayage ,Balayage
Capelli Medi ,Balayage ,Balayage
Capelli Lunghi ,Balayage ,Balayage
Capelli Corti ,Degradè Ritocco ,Degradè
Capelli Medi ,Degradè Ritocco ,Degradè
Capelli Lunghi ,Degradè Ritocco ,Degradè
Capelli Corti ,Degradè,Degradè
Capelli Medi ,Degradè,Degradè
Capelli Lunghi ,Degradè,Degradè
Capelli Corti ,Permanente ,Permanente
Capelli Medi ,Permanente ,Permanente
Capelli Lunghi ,Permanente ,Permanente
Capelli Corti ,Riflessante ,Riflessante
Capelli Medi ,Riflessante ,Riflessante
Capelli Lunghi ,Riflessante ,Riflessante
Capelli Corti ,Stiraggio ,Piega
Capelli Medi ,Stiraggio ,Piega
Capelli Lunghi ,Stiraggio ,Piega
Capelli Corti ,Tonalizzante ,Tonalizzante
Capelli Medi ,Tonalizzante ,Tonalizzante
Capelli Lunghi ,Tonalizzante ,Tonalizzante
Capelli Corti ,Trattamento ,Trattamento capelli
Capelli Medi ,Trattamento ,Trattamento capelli
Capelli Lunghi ,Trattamento ,Trattamento capelli
Capelli Corti ,Ricostruzione ,Trattamento capelli
Capelli Medi ,Ricostruzione ,Trattamento capelli
Capelli Lunghi ,Ricostruzione ,Trattamento capelli
Capelli Corti ,Trat Pulizia Cute ,Pulizia cute
Capelli Medi ,Trat Pulizia Cute ,Pulizia cute
Capelli Lunghi ,Trat Pulizia Cute ,Pulizia cute
Capelli Lunghi ,Shampoo ,Shampoo
Capelli Medi ,Taglio Bimba ,Taglio
Capelli Lunghi ,Taglio Bimba ,Taglio
Capelli Corti ,Taglio Bimba ,Taglio
Capelli Medi ,Taglio Bimba ,Taglio
Epilazione Donna,Metà gamba,Ceretta
Epilazione Donna,Inguine,Ceretta
Epilazione Donna,Gamba + inguine,Ceretta
Epilazione Donna,Braccia,Ceretta
Epilazione Donna,Ascelle,Ceretta
Epilazione Donna,Labbro superiore,Ceretta
Epilazione Donna,Sopracciglia,Ciglia/Sopracciglia
Epilazione Donna,Baffetto e Sopracciglia,Ceretta
Epilazione Donna,Viso,Ceretta
Epilazione Uomo,Schiena,Epilazione laser
Epilazione Uomo,Petto,Ceretta
Epilazione Uomo,Braccia,Ceretta
Epilazione Uomo,Gamba Intera,Epilazione laser
Manicure,Manicure,Manicure
Manicure,Applicazione Smalto,Manicure
Manicure,Manicure spa,Manicure
Manicure,Semipermanente,Manicure
Manicure,Rimozione semipermanente,Manicure
Manicure,Copertura unghia corta,Manicure
Manicure,Copertura lunghezza extra,Manicure
Manicure,Ricostruzione base unghia corta,Manicure
Manicure,Ricostruzione base unghia lunga,Manicure
Manicure,Refil unghia corta,Manicure
Manicure,Refil lughezza extra,Manicure
Manicure,riparazione unghia,Manicure
Manicure,Rimozione gel/acrygel/acrilico,Manicure
Pulizia,Pulizia viso,Trattamenti viso
Pulizia,Pulizia corpo,Trattamenti viso
Trattamenti,Viso Singolo,Ceretta
Trattamenti,Viso 10 Pacchetto,Ceretta
Trucco,Make up,Makeup/Trucco
Trucco,Make up Sposa,Makeup/Trucco
Piedi,Applicazione Smalto,Epilazione laser
Piedi,Pedicure estetico con Semipermanente,Pedicure
Piedi,Rimozione semipermanente,Manicure
nan,Zigomi o Baffetto,Ceretta
nan,Mento,Epilazione laser
nan,Ascelle,Ceretta
nan,Schiena Completa,Epilazione laser
nan,Braccia Intere Complete,Ceretta
Piedi,Pedicure meccanica,Epilazione laser
Epilazione Uomo,Sopracciglia,Ciglia/Sopracciglia
Epilazione Donna,Gamba intera,Epilazione laser
Manicure,Semipermanente Rinforzato,Manicure
Epilazione Donna,Metà Gamba + Inguine + Sopracciglia,Ceretta
Epilazione Donna,Gamba intera + Inguine + Baffetto + Sopracciaglia,Ceretta
Epilazione Donna,Gamba Intera + Inguine + Braccia + Ascelle + Baffetto + Sopracciglia,Ceretta
Epilazione Donna,Metà Gamba + Inguine + Baffetto + Sopracciglia,Ceretta
Epilazione Donna,Braccia + Ascelle,Ceretta
Epilazione Donna,Braccia + Ascelle + Baffetto + Sopracciglia,Ceretta
Epilazione Donna,Braccia + Baffetto + Sopracciglia,Ceretta
Epilazione Donna,Gamba intera +Inguine + Viso,Ceretta
Epilazione Donna,Metà Gamba + Inguine + Ascelle + Baffetto + Sopracciglia,Ceretta
Epilazione Donna,Metà gamba + Inguine + Braccia,Ceretta
Epilazione Donna,Inguine + Ascelle,Ceretta
Epilazione Donna,Inguine + Braccia,Ceretta
Piedi,Pedicure estetico,Pedicure
Epilazione Donna,Gamba + braccia,Ceretta
Manicure,Semipermanente con decori,Manicure
Manicure,nail art,Manicure
Epilazione Donna,metà gamba + inguine,Ceretta
Epilazione Donna,metà gamba + inguine + Viso,Ceretta
Epilazione Donna,Metà gamba + Inguine + Ascelle,Ceretta
Manicure,Cambio Colore,Manicure
Piedi,Pedicure meccanica più semipermanente,Pedicure
Manicure,Rimozione semipermanente + manicure,Manicure
Manicure,Rimozione semipermanente altrui + applicazione semipermanente,Manicure
Manicure,Rimozione gel/acrygel/acrilico altrui+ copertura nuovo prodotto,Manicure
nan,Consulenza Unghie,Manicure
Consulenza,Consulenza Nails,Consulenza
Laminazione,Laminazione ciglia,Ciglia/Sopracciglia
Consulenza,Consulenza Make up sposa,Makeup/Trucco
Consulenza,Consulenza pulizia/Trattamento Viso,Consulenza
Trucco,Corso Self-Makeup,Makeup/Trucco
Epilazione Donna,depilazione glutei,Ceretta
Epilazione Donna,schiena,Ceretta
Epilazione Donna,gamba intera+inguine+glutei+braccia+ascelle +schiena,Epilazione laser
Manicure,stesura semipermanente su unghia naturale,Manicure
Epilazione Uomo,ascelle,Ceretta
Epilazione Donna,Gamba intera + braccia,Ceretta
Piedi,Rimozione semipermanente altrui + applicazione semipermanente,Manicure
nan,Taglio shampoo,Taglio
nan,Modellatura barba,Barba
nan,Barba,Barba
nan,Taglio shampoo men refresh,Taglio
Benessere,Massaggio Relax/Drenante/Decontratturante,Massaggio
Benessere,Trattamento Viso Idratante,Barba
Benessere,Trattamento Viso Anti-Age,Trattamenti viso
Benessere,Trattamento Viso Schiarente,Barba
Benessere,Trattamento Viso Purificante ,Barba
Benessere,Trattamento Viso Pelli Sensibili,Barba
Benessere,Trattamento Viso Liftante,Barba
Benessere,Trattamento Corpo Detossinante,Trattamenti Corpo
Benessere,Trattamento Corpo Esfoliante,Trattamenti Corpo
Benessere,Trattamento Corpo Anti-Cellulite,Trattamenti viso
Benessere,Trattamento Corpo Tonificante,Trattamenti Corpo
Benessere,Trattamento Corpo Riducente,Trattamenti Corpo
Benessere,Trattamento Viso&Corpo Detossinante,Trattamenti Corpo
Benessere,Manicure,Manicure
Benessere,Manicure + Semipermanente,Manicure
Benessere,Pedicure Con Callosità,Pedicure
Benessere,Pedicure + Smalto Semipermanente ,Pedicure
Benessere,Trattamento Rigenerante Mani o Piedi,Epilazione laser
Benessere,Sauna,Balayage
Benessere,Pressoterapia,Balayage
Benessere,Doccia Solare,Trattamenti Corpo
Benessere,Epilazione Arti Inferiori,Ceretta
Benessere,Epilazione Inguine Brasiliano,Ceretta
Benessere,Epilazione Inguine Totale,Ceretta
Benessere,Epilazione Braccia ,Ceretta
Benessere,Epilazione Addome,Epilazione laser
Benessere,Epilazione Dorso,Ceretta
Benessere,Epilazione Lombare,Ceretta
Estetica avanzata,Laser Diodo 808 Zona Piccola,Epilazione laser
Estetica avanzata,Laser Diodo 808 Zona Media,Manicure
Estetica avanzata,Laser Diodo 808 Zona Grande,Epilazione laser
Benessere,Epilazione Brasilian Skin's Arti Inferiori,Ceretta
Benessere,Epilazione Brasilian Skin's Inguine Brasiliano,Ceretta
Benessere,Epilazione Brasilian Skin's Inguine Totale,Epilazione laser
Benessere,Epilazione Brasilian Skin's Ascelle,Ceretta
Benessere,Epilazione Brasilian Skin's Braccia,Ceretta
Benessere,Stone Massage,Massaggio
Benessere,Massaggio Viso,Ceretta
Taglio,Taglio,Taglio
Taglio,Shampoo,Taglio
Taglio,Taglio Bimbo,Taglio
Taglio,Taglio Tattoo,Taglio
Taglio,Taglio Rasatura,Taglio
Barba,Barba Classica,Barba
Barba,Rasatura Barba,Barba
Barba,Barba Vip,Barba
Barba,Barba Elite,Barba
Trattamento,Trattamenti Cutanei,Trattamenti Corpo
Trattamento,Lisciante,Trattamento capelli
Trattamento,Ondulazione,Trattamento capelli
Barba,Colore Barba,Barba
Trattamento,Colore Completo,Colore
Barba,Trattamento barba all'italiana,Barba
Barba,Barba al ghiaccio ,Barba
Taglio,Shampoo + Taglio ,Taglio
Taglio,Completo    (Shampoo + Taglio + Barba) ,Taglio e barba
Eventi,Piega ,Piega
Eventi,Matrimonio (Shampoo + Piega + Barba) ,Piega
Eventi,Shampoo + Piega,Piega
Eventi,Completo (Shampoo + Taglio+ Barba ,Taglio e barba
Taglio,Taglio Bimbo 1 ,Taglio
Taglio,Taglio Bimbo 2,Taglio
Taglio,Taglio Bimbo 3,Taglio
Barba,Shampoo+Barba ,Barba
Trattamento,Ondulazione,Trattamento capelli
Taglio,taglio + barba,Taglio e barba
nan,TRATTAMENTO PULIZIA CUTE,Pulizia cute
Femminile > Capelli Corti,Shampoo,Shampoo
Femminile > Capelli Corti,Taglio,Taglio
Femminile > Capelli Corti,Taglio Bimbo/a,Taglio
Femminile > Capelli Corti,Piega,Piega
Femminile > Capelli Corti,Applicazione Ritocco Colore,Colore
Femminile > Capelli Corti,Applicazione Colore Completo,Colore
Femminile > Capelli Corti,Applicazione Meches Parziali,Meches
Femminile > Capelli Corti,Applicazione Meches Completo,Meches
Femminile > Capelli Corti,Applicazione Balayage,Balayage
Femminile > Capelli Corti,Applicazione Degradè Ritocco,Degradè
Femminile > Capelli Corti,Applicazione Degradè,Degradè
Femminile > Capelli Corti,Applicazione Permanente,Permanente
Femminile > Capelli Corti,Applicazione Riflessante,Riflessante
Femminile > Capelli Corti,Stiraggio,Piega
Femminile > Capelli Corti,Tonalizzante,Tonalizzante
Femminile > Capelli Corti,Ricostruzione,Trattamento capelli
Femminile > Capelli Corti,Trat Pulizia Cute,Pulizia cute
Femminile > Capelli Corti,Colore Veloce,Colore
Femminile > Capelli Corti,Anticrespo,Trattamento capelli
Femminile > Capelli Corti,Disciplinate,Piega
Femminile > Capelli Medi/Lunghi,Shampoo,Shampoo
Femminile > Capelli Medi/Lunghi,Taglio,Taglio
Femminile > Capelli Medi/Lunghi,Taglio Bimbo/a,Taglio
Femminile > Capelli Medi/Lunghi,Piega,Piega
Femminile > Capelli Medi/Lunghi,Applicazione Ritocco Colore,Colore
Femminile > Capelli Medi/Lunghi,Applicazione Colore Completo,Colore
Femminile > Capelli Medi/Lunghi,Applicazione Meches Parziali,Meches
Femminile > Capelli Medi/Lunghi,Applicazione Meches Completo,Meches
Femminile > Capelli Medi/Lunghi,Applicazione Balayage,Balayage
Femminile > Capelli Medi/Lunghi,Applicazione Degradè Ritocco,Degradè
Femminile > Capelli Medi/Lunghi,Applicazione Degradè,Degradè
Femminile > Capelli Medi/Lunghi,Applicazione Permanente,Permanente
Femminile > Capelli Medi/Lunghi,Applicazione Riflessante,Riflessante
Femminile > Capelli Medi/Lunghi,Stiraggio,Piega
Femminile > Capelli Medi/Lunghi,Tonalizzante,Tonalizzante
Femminile > Capelli Medi/Lunghi,Ricostruzione,Trattamento capelli
Femminile > Capelli Medi/Lunghi,Trat Pulizia Cute,Pulizia cute
Femminile > Capelli Medi/Lunghi,Colore Veloce,Colore
Femminile > Capelli Medi/Lunghi,Anticrespo,Piega
Femminile > Capelli Medi/Lunghi,Disciplinate,Piega
Femminile > Capelli Medi/Lunghi,Acconciatura,Piega
Femminile > Capelli Medi/Lunghi,Piega Con Ferro,Piega
Femminile > Capelli Medi/Lunghi,Trat Nubea,Pulizia cute
Femminile > Capelli Corti,Trat Nubea,Pulizia cute
Maschile,Shampoo,Shampoo
Maschile,Taglio,Taglio
Maschile,Piega,Piega
Maschile,Permanente,Permanente
Maschile,Trattamento Nubea,Trattamento capelli
Bambini,Piega Bimba,Piega
Bambini,Shampoo,Shampoo
Bambini,Taglio ,Taglio
Bambini,Taglio Bimbo Senza Shampoo,Taglio
